Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
172,Hank O'Day,2013,7,1884,1890,0,-2.6,232,858,817,76,155,19,3,1,46,7,,39,109,,,,,0.19,0.228,0.224,0.452
173,Jim O'Rourke,1945,23,1872,1904,0,51.5,1999,9052,8503,1729,2639,468,149,62,1208,229,12,513,362,,6,,0,0.31,0.352,0.422,0.775
174,Mel Ott,1951,22,1926,1947,12,107.8,2730,11348,9456,1859,2876,488,72,511,1860,89,16,1708,896,39,82,,109,0.304,0.414,0.533,0.947
175,Satchel Paige,1971,6,1948,1965,2,-1.2,179,135,124,2,12,0,0,0,4,0,0,3,32,0,5,0,8,0.097,0.118,0.097,0.215
176,Jim Palmer,1990,19,1965,1984,6,0.9,222,537,489,52,85,9,1,3,41,1,0,16,207,0,1,1,31,0.174,0.2,0.215,0.414
177,Herb Pennock,1948,22,1912,1934,0,0.9,620,1413,1214,108,232,33,4,4,103,1,0,94,178,,,,111,0.191,0.253,0.235,0.488
178,Tony Perez,2000,23,1964,1986,7,54,2777,10861,9778,1272,2732,505,79,379,1652,49,33,925,1867,150,268,106,9,0.279,0.341,0.463,0.804
179,Gaylord Perry,1991,22,1962,1983,5,-3,512,1220,1076,48,141,17,0,6,47,0,0,22,369,0,20,3,113,0.131,0.153,0.164,0.316
180,Mike Piazza,2016,16,1992,2007,12,59.6,1912,7745,6911,1048,2127,344,8,427,1335,17,20,759,1113,146,229,45,0,0.308,0.377,0.545,0.922
181,Eddie Plank,1946,17,1901,1917,0,3.3,630,1776,1607,130,331,39,7,3,122,13,3,71,265,,,,76,0.206,0.25,0.245,0.495
182,Kirby Puckett,2001,12,1984,1995,10,51.1,1783,7831,7244,1071,2304,414,57,207,1085,134,76,450,965,85,188,58,23,0.318,0.36,0.477,0.837
183,Old Hoss Radbourn,1939,12,1880,1891,0,2.2,653,2654,2487,308,585,64,11,9,259,26,,158,244,,,,,0.235,0.283,0.281,0.564
184,Tim Raines,2017,23,1979,2002,7,69.4,2502,10359,8872,1571,2605,430,113,170,980,808,146,1330,966,148,142,76,39,0.294,0.385,0.425,0.81
185,Pee Wee Reese,1984,16,1940,1958,10,66.3,2166,9470,8058,1338,2170,330,80,126,885,232,91,1210,890,67,176,19,157,0.269,0.366,0.377,0.743
186,Jim Rice,2009,16,1974,1989,8,47.7,2089,9058,8225,1249,2452,373,79,382,1451,58,34,670,1423,77,315,94,5,0.298,0.352,0.502,0.854
187,Sam Rice,1963,20,1915,1934,0,52.7,2404,10252,9269,1514,2987,498,184,34,1077,351,143,708,275,,,,213,0.322,0.374,0.427,0.801
188,Branch Rickey,1967,4,1905,1914,0,1.1,120,380,343,38,82,8,6,3,39,8,0,27,54,,,,5,0.239,0.304,0.324,0.628
189,Cal Ripken Jr.,2007,21,1981,2001,19,95.9,3001,12883,11551,1647,3184,603,44,431,1695,36,39,1129,1305,107,350,127,10,0.276,0.34,0.447,0.788
